course_id,student_id,score,group_no,dept_no
11AC01,11A20240001,65,11,A
11AC01,11A20240007,98,11,A
11AC01,11A20240008,92,11,A
11AC01,11A20240009,86,11,A
11AC01,11A20240010,80,11,A
11AC01,11A20240011,74,11,A
11AC01,11A20240017,66,11,A
11AC01,11A20240018,60,11,A
11AC01,11A20240019,95,11,A
11AC01,11A20240020,89,11,A
11AC01,11A20240021,83,11,A
11AC01,11A20240027,75,11,A
11AC01,11A20240028,69,11,A
11AC01,11A20240029,63,11,A
11AC01,11A20240030,98,11,A
11AC01,11A20240031,92,11,A
11AC01,11A20240037,84,11,A
11AC01,11A20240038,78,11,A
11AC01,11A20240039,72,11,A
11AC01,11A20240040,66,11,A
11AC01,11A20240041,60,11,A
11AC01,11A20240047,93,11,A
11AC01,11A20240048,87,11,A
11AC01,11A20240049,81,11,A
11AC01,11A20240050,75,11,A
11AC02,11A20240001,76,11,A
11AC02,11A20240002,70,11,A
11AC02,11A20240008,62,11,A
11AC02,11A20240009,97,11,A
11AC02,11A20240010,91,11,A
11AC02,11A20240011,85,11,A
11AC02,11A20240012,79,11,A
11AC02,11A20240018,71,11,A
11AC02,11A20240019,65,11,A
11AC02,11A20240020,100,11,A
11AC02,11A20240021,94,11,A
11AC02,11A20240022,88,11,A
11AC02,11A20240028,80,11,A
11AC02,11A20240029,74,11,A
11AC02,11A20240030,68,11,A
11AC02,11A20240031,62,11,A
11AC02,11A20240032,97,11,A
11AC02,11A20240038,89,11,A
11AC02,11A20240039,83,11,A
11AC02,11A20240040,77,11,A
11AC02,11A20240041,71,11,A
11AC02,11A20240042,65,11,A
11AC02,11A20240048,98,11,A
11AC02,11A20240049,92,11,A
11AC02,11A20240050,86,11,A
11AC03,11A20240001,87,11,A
11AC03,11A20240002,81,11,A
11AC03,11A20240003,75,11,A
11AC03,11A20240009,67,11,A
11AC03,11A20240010,61,11,A
11AC03,11A20240011,96,11,A
11AC03,11A20240012,90,11,A
11AC03,11A20240013,84,11,A
11AC03,11A20240019,76,11,A
11AC03,11A20240020,70,11,A
11AC03,11A20240021,64,11,A
11AC03,11A20240022,99,11,A
11AC03,11A20240023,93,11,A
11AC03,11A20240029,85,11,A
11AC03,11A20240030,79,11,A
11AC03,11A20240031,73,11,A
11AC03,11A20240032,67,11,A
11AC03,11A20240033,61,11,A
11AC03,11A20240039,94,11,A
11AC03,11A20240040,88,11,A
11AC03,11A20240041,82,11,A
11AC03,11A20240042,76,11,A
11AC03,11A20240043,70,11,A
11AC03,11A20240049,62,11,A
11AC03,11A20240050,97,11,A
11AC04,11A20240001,98,11,A
11AC04,11A20240002,92,11,A
11AC04,11A20240003,86,11,A
11AC04,11A20240004,80,11,A
11AC04,11A20240010,72,11,A
11AC04,11A20240011,66,11,A
11AC04,11A20240012,60,11,A
11AC04,11A20240013,95,11,A
11AC04,11A20240014,89,11,A
11AC04,11A20240020,81,11,A
11AC04,11A20240021,75,11,A
11AC04,11A20240022,69,11,A
11AC04,11A20240023,63,11,A
11AC04,11A20240024,98,11,A
11AC04,11A20240030,90,11,A
11AC04,11A20240031,84,11,A
11AC04,11A20240032,78,11,A
11AC04,11A20240033,72,11,A
11AC04,11A20240034,66,11,A
11AC04,11A20240040,99,11,A
11AC04,11A20240041,93,11,A
11AC04,11A20240042,87,11,A
11AC04,11A20240043,81,11,A
11AC04,11A20240044,75,11,A
11AC04,11A20240050,67,11,A
11AC05,11A20240001,68,11,A
11AC05,11A20240002,62,11,A
11AC05,11A20240003,97,11,A
11AC05,11A20240004,91,11,A
11AC05,11A20240005,85,11,A
11AC05,11A20240011,77,11,A
11AC05,11A20240012,71,11,A
11AC05,11A20240013,65,11,A
11AC05,11A20240014,100,11,A
11AC05,11A20240015,94,11,A
11AC05,11A20240021,86,11,A
11AC05,11A20240022,80,11,A
11AC05,11A20240023,74,11,A
11AC05,11A20240024,68,11,A
11AC05,11A20240025,62,11,A
11AC05,11A20240031,95,11,A
11AC05,11A20240032,89,11,A
11AC05,11A20240033,83,11,A
11AC05,11A20240034,77,11,A
11AC05,11A20240035,71,11,A
11AC05,11A20240041,63,11,A
11AC05,11A20240042,98,11,A
11AC05,11A20240043,92,11,A
11AC05,11A20240044,86,11,A
11AC05,11A20240045,80,11,A
11AC06,11A20240002,73,11,A
11AC06,11A20240003,67,11,A
11AC06,11A20240004,61,11,A
11AC06,11A20240005,96,11,A
11AC06,11A20240006,90,11,A
11AC06,11A20240012,82,11,A
11AC06,11A20240013,76,11,A
11AC06,11A20240014,70,11,A
11AC06,11A20240015,64,11,A
11AC06,11A20240016,99,11,A
